*rse  [safe: not_safe=0.317, safe=0.683]
mibun  [safe: not_safe=0.025, safe=0.975]
mick  [safe: not_safe=0.491, safe=0.509]
mickeyfinn  [not safe: not_safe=0.819, safe=0.181]
mideast  [safe: not_safe=0.731, safe=0.269]
mierda  [safe: not_safe=0.053, safe=0.947]
mignotta  [safe: not_safe=0.501, safe=0.499]
milf  [safe: not_safe=0.073, safe=0.927]
minchia  [not safe: not_safe=0.908, safe=0.092]
minchione  [not safe: not_safe=0.893, safe=0.107]
mindfuck  [safe: not_safe=0.039, safe=0.961]
minge  [safe: not_safe=0.378, safe=0.622]
minger  [safe: not_safe=0.353, safe=0.647]
mockey  [not safe: not_safe=0.949, safe=0.051]
mockie  [not safe: not_safe=0.985, safe=0.015]
mocky  [not safe: not_safe=0.993, safe=0.007]
mof  [safe: not_safe=0.067, safe=0.933]
mof0es  [safe: not_safe=0.175, safe=0.825]
mof0s  [safe: not_safe=0.070, safe=0.930]
mofcker  [safe: not_safe=0.325, safe=0.675]
mofo  [safe: not_safe=0.031, safe=0.969]
mofo ass  [safe: not_safe=0.564, safe=0.436]
mofoes  [safe: not_safe=0.386, safe=0.614]
mofos  [safe: not_safe=0.252, safe=0.748]
mofoshit  [safe: not_safe=0.084, safe=0.916]
mofuccers  [safe: not_safe=0.006, safe=0.994]
mofucckers  [safe: not_safe=0.012, safe=0.988]
mofuck  [safe: not_safe=0.029, safe=0.971]
mofucker  [safe: not_safe=0.042, safe=0.958]
mofuckkas  [safe: not_safe=0.224, safe=0.776]
mofuk  [safe: not_safe=0.030, safe=0.970]
mofukkas  [safe: not_safe=0.062, safe=0.938]
moky  [safe: not_safe=0.468, safe=0.532]
molest  [not safe: not_safe=0.812, safe=0.188]
molestation  [safe: not_safe=0.011, safe=0.989]
molester  [safe: not_safe=0.083, safe=0.917]
molestor  [safe: not_safe=0.076, safe=0.924]
molo  [not safe: not_safe=0.937, safe=0.063]
molopää  [safe: not_safe=0.727, safe=0.273]
mona  [not safe: not_safe=0.996, safe=0.004]
moneyshot  [safe: not_safe=0.006, safe=0.994]
mong  [safe: not_safe=0.128, safe=0.872]
mongoloid  [safe: not_safe=0.121, safe=0.879]
mongrel  [safe: not_safe=0.094, safe=0.906]
monkleigh  [safe: not_safe=0.105, safe=0.895]
monta  [not safe: not_safe=0.872, safe=0.128]
montare  [safe: not_safe=0.004, safe=0.996]
moolie  [not safe: not_safe=0.823, safe=0.177]
moona  [not safe: not_safe=0.852, safe=0.148]
moonade  [not safe: not_safe=0.992, safe=0.008]
moonar  [safe: not_safe=0.241, safe=0.759]
moonat  [safe: not_safe=0.056, safe=0.944]
mooncricket  [safe: not_safe=0.153, safe=0.847]
mooncrickets  [safe: not_safe=0.559, safe=0.441]
morgenlatte  [not safe: not_safe=0.993, safe=0.007]
mormon  [safe: not_safe=0.197, safe=0.803]
moron  [not safe: not_safe=0.987, safe=0.013]
morraknuller  [safe: not_safe=0.608, safe=0.392]
morrapuler  [safe: not_safe=0.027, safe=0.973]
moskal  [safe: not_safe=0.571, safe=0.429]
moskals  [safe: not_safe=0.751, safe=0.249]
moslem  [safe: not_safe=0.095, safe=0.905]
mosshead  [safe: not_safe=0.006, safe=0.994]
motha  [safe: not_safe=0.093, safe=0.907]
mothafuck  [not safe: not_safe=0.892, safe=0.108]
mothafucka  [safe: not_safe=0.613, safe=0.387]
mothafuckas  [safe: not_safe=0.472, safe=0.528]
mothafuckaz  [safe: not_safe=0.552, safe=0.448]
mothafucked  [not safe: not_safe=0.991, safe=0.009]
mothafucker  [not safe: not_safe=0.890, safe=0.110]
mothafuckers  [not safe: not_safe=0.849, safe=0.151]
mothafuckin  [safe: not_safe=0.801, safe=0.199]
mothafuckin'  [not safe: not_safe=0.983, safe=0.017]
mothafucking  [not safe: not_safe=0.818, safe=0.182]
mothafuckings  [safe: not_safe=0.371, safe=0.629]
mothafucks  [not safe: not_safe=0.877, safe=0.123]
mothafuker  [safe: not_safe=0.701, safe=0.299]
mothafukkah  [safe: not_safe=0.573, safe=0.427]
mothafukker  [safe: not_safe=0.736, safe=0.264]
motherfuck  [safe: not_safe=0.123, safe=0.877]
motherfucka  [safe: not_safe=0.052, safe=0.948]
motherfucked  [safe: not_safe=0.240, safe=0.760]
motherfucker  [safe: not_safe=0.021, safe=0.979]
motherfuckers  [safe: not_safe=0.054, safe=0.946]
motherfuckin  [safe: not_safe=0.072, safe=0.928]
motherfucking  [safe: not_safe=0.037, safe=0.963]
motherfuckings  [not safe: not_safe=0.908, safe=0.092]
motherfuckka  [safe: not_safe=0.046, safe=0.954]
motherfucks  [safe: not_safe=0.027, safe=0.973]
motherfukah  [safe: not_safe=0.010, safe=0.990]
motherfuker  [safe: not_safe=0.022, safe=0.978]
motherfukkah  [safe: not_safe=0.025, safe=0.975]
motherfukker  [safe: not_safe=0.023, safe=0.977]
motherfvcker  [safe: not_safe=0.063, safe=0.937]
motherlovebone  [not safe: not_safe=0.880, safe=0.120]
mothrfucker  [not safe: not_safe=0.900, safe=0.100]
mouliewop  [safe: not_safe=0.193, safe=0.807]
moundofvenus  [safe: not_safe=0.528, safe=0.472]
mrdat  [safe: not_safe=0.123, safe=0.877]
mrdka  [safe: not_safe=0.044, safe=0.956]
mrdník  [safe: not_safe=0.021, safe=0.979]
mrhands  [not safe: not_safe=0.975, safe=0.025]
mtherfucker  [safe: not_safe=0.066, safe=0.934]
mthrfuck  [safe: not_safe=0.024, safe=0.976]
mthrfucker  [safe: not_safe=0.282, safe=0.718]
mthrfucking  [safe: not_safe=0.007, safe=0.993]
mtrfck  [safe: not_safe=0.026, safe=0.974]
mtrfuck  [safe: not_safe=0.027, safe=0.973]
mtrfucker  [safe: not_safe=0.014, safe=0.986]
mudak  [safe: not_safe=0.249, safe=0.751]
muff  [safe: not_safe=0.031, safe=0.969]
muffdive  [safe: not_safe=0.043, safe=0.957]
muffdiver  [safe: not_safe=0.117, safe=0.883]
muffdiving  [safe: not_safe=0.003, safe=0.997]
muffindiver  [safe: not_safe=0.007, safe=0.993]
mufflikcer  [safe: not_safe=0.022, safe=0.978]
muffpuff  [safe: not_safe=0.041, safe=0.959]
mufti  [safe: not_safe=0.019, safe=0.981]
muie  [safe: not_safe=0.007, safe=0.993]
mulatto  [safe: not_safe=0.611, safe=0.389]
mulkero  [safe: not_safe=0.011, safe=0.989]
mulkku  [safe: not_safe=0.072, safe=0.928]
mulkvisti  [safe: not_safe=0.004, safe=0.996]
muna  [not safe: not_safe=0.962, safe=0.038]
munapää  [safe: not_safe=0.141, safe=0.859]
munaton  [safe: not_safe=0.425, safe=0.575]
muncher  [safe: not_safe=0.704, safe=0.296]
mung  [safe: not_safe=0.214, safe=0.786]
munging  [safe: not_safe=0.041, safe=0.959]
munt  [not safe: not_safe=0.948, safe=0.052]
munter  [not safe: not_safe=0.937, safe=0.063]
muschi  [safe: not_safe=0.056, safe=0.944]
mussa  [safe: not_safe=0.802, safe=0.198]
mutakuono  [safe: not_safe=0.007, safe=0.993]
mutha  [safe: not_safe=0.138, safe=0.862]
muthafecker  [safe: not_safe=0.037, safe=0.963]
muthafuckaz  [safe: not_safe=0.009, safe=0.991]
muthafucker  [safe: not_safe=0.070, safe=0.930]
muthafuckker  [safe: not_safe=0.025, safe=0.975]
muthafukah  [safe: not_safe=0.014, safe=0.986]
muthafuker  [safe: not_safe=0.008, safe=0.992]
muthafukkah  [safe: not_safe=0.008, safe=0.992]
muthafukker  [safe: not_safe=0.026, safe=0.974]
muther  [safe: not_safe=0.017, safe=0.983]
mutherfucker  [safe: not_safe=0.073, safe=0.927]
mutherfucking  [safe: not_safe=0.513, safe=0.487]
muthrfucking  [safe: not_safe=0.021, safe=0.979]
mutiainen  [safe: not_safe=0.046, safe=0.954]
muts  [safe: not_safe=0.138, safe=0.862]
mutta  [not safe: not_safe=0.925, safe=0.075]
mutth  [safe: not_safe=0.607, safe=0.393]
mutthal  [safe: not_safe=0.026, safe=0.974]
mzungu  [safe: not_safe=0.060, safe=0.940]
mzungus  [safe: not_safe=0.067, safe=0.933]
möpse  [not safe: not_safe=0.986, safe=0.014]
möse  [not safe: not_safe=0.970, safe=0.030]
n*mbnuts  [safe: not_safe=0.278, safe=0.722]
n*ts  [safe: not_safe=0.547, safe=0.453]
n0bhead  [safe: not_safe=0.023, safe=0.977]
n0bj0cky  [safe: not_safe=0.258, safe=0.742]
n1ckker  [safe: not_safe=0.207, safe=0.793]
n1g3r  [safe: not_safe=0.178, safe=0.822]
n1g3rz  [safe: not_safe=0.229, safe=0.771]
n1gg3r  [safe: not_safe=0.305, safe=0.695]
n1gg3rs  [safe: not_safe=0.208, safe=0.792]
n1gg@  [safe: not_safe=0.012, safe=0.988]
n1gg@hs  [safe: not_safe=0.020, safe=0.980]
n1gga  [safe: not_safe=0.029, safe=0.971]
n1ggah  [safe: not_safe=0.038, safe=0.962]
n1ggahs  [safe: not_safe=0.014, safe=0.986]
n1ggas  [safe: not_safe=0.033, safe=0.967]
n1ggazes  [safe: not_safe=0.013, safe=0.987]
n1gger  [safe: not_safe=0.050, safe=0.950]
n1ggers  [safe: not_safe=0.206, safe=0.794]
n1gguh  [safe: not_safe=0.068, safe=0.932]
n3gro  [safe: not_safe=0.032, safe=0.968]
naaien  [safe: not_safe=0.043, safe=0.957]
naakt  [safe: not_safe=0.005, safe=0.995]
nackt  [safe: not_safe=0.006, safe=0.994]
nad  [not safe: not_safe=0.885, safe=0.115]
nads  [not safe: not_safe=0.990, safe=0.010]
naida  [safe: not_safe=0.389, safe=0.611]
nainti  [safe: not_safe=0.365, safe=0.635]
najayaz  [safe: not_safe=0.047, safe=0.953]
naked  [not safe: not_safe=0.995, safe=0.005]
nambla  [safe: not_safe=0.021, safe=0.979]
nappy  [safe: not_safe=0.038, safe=0.962]
narttu  [not safe: not_safe=0.971, safe=0.029]
nastt  [not safe: not_safe=0.912, safe=0.088]
nasty  [not safe: not_safe=0.960, safe=0.040]
nastybitch  [not safe: not_safe=0.835, safe=0.165]
nastyho  [not safe: not_safe=0.941, safe=0.059]
nastyslut  [safe: not_safe=0.080, safe=0.920]
nastywhore  [safe: not_safe=0.004, safe=0.996]
nawashi  [safe: not_safe=0.026, safe=0.974]
nazi  [safe: not_safe=0.070, safe=0.930]
nazis  [safe: not_safe=0.143, safe=0.857]
nazism  [safe: not_safe=0.194, safe=0.806]
necked  [not safe: not_safe=0.997, safe=0.003]
necro  [safe: not_safe=0.312, safe=0.688]
needthedick  [safe: not_safe=0.251, safe=0.749]
neekeri  [safe: not_safe=0.521, safe=0.479]
neger  [safe: not_safe=0.122, safe=0.878]
negga  [safe: not_safe=0.044, safe=0.956]
neggar  [safe: not_safe=0.114, safe=0.886]
negr0  [safe: not_safe=0.135, safe=0.865]
negres  [not safe: not_safe=0.988, safe=0.012]
negress  [not safe: not_safe=0.994, safe=0.006]
negro  [not safe: not_safe=0.917, safe=0.083]
negroes  [not safe: not_safe=0.987, safe=0.013]
negroid  [safe: not_safe=0.072, safe=0.928]
negros  [not safe: not_safe=0.883, safe=0.117]
nekru  [not safe: not_safe=0.993, safe=0.007]
neonazi  [safe: not_safe=0.068, safe=0.932]
nepesaurio  [safe: not_safe=0.078, safe=0.922]
nerchia  [safe: not_safe=0.569, safe=0.431]
neuken  [not safe: not_safe=0.995, safe=0.005]
neukstier  [safe: not_safe=0.250, safe=0.750]
niccer  [safe: not_safe=0.584, safe=0.416]
nicht  [safe: not_safe=0.088, safe=0.912]
nicka  [not safe: not_safe=0.965, safe=0.035]
nickas  [not safe: not_safe=0.974, safe=0.026]
nicker  [not safe: not_safe=0.885, safe=0.115]
nickk3r  [safe: not_safe=0.060, safe=0.940]
nickker  [safe: not_safe=0.292, safe=0.708]
nig  [safe: not_safe=0.392, safe=0.608]
nig-nog  [safe: not_safe=0.212, safe=0.788]
niga  [safe: not_safe=0.169, safe=0.831]
nigaboo  [safe: not_safe=0.018, safe=0.982]
nigah  [safe: not_safe=0.106, safe=0.894]
nigar  [safe: not_safe=0.035, safe=0.965]
nigars  [safe: not_safe=0.563, safe=0.437]
nigas  [safe: not_safe=0.194, safe=0.806]
nigasses  [safe: not_safe=0.147, safe=0.853]
nigers  [not safe: not_safe=0.959, safe=0.041]
nigette  [not safe: not_safe=0.959, safe=0.041]
nigettes  [safe: not_safe=0.471, safe=0.529]
nigg  [not safe: not_safe=0.813, safe=0.187]
nigg3r  [safe: not_safe=0.076, safe=0.924]
nigg3rs  [safe: not_safe=0.038, safe=0.962]
nigg4h  [safe: not_safe=0.435, safe=0.565]
nigg4hs  [safe: not_safe=0.139, safe=0.861]
nigg@  [safe: not_safe=0.009, safe=0.991]
nigg@hs  [safe: not_safe=0.015, safe=0.985]
nigg@s  [safe: not_safe=0.016, safe=0.984]
nigg@z  [safe: not_safe=0.017, safe=0.983]
nigg@zzes  [safe: not_safe=0.019, safe=0.981]
nigga  [safe: not_safe=0.438, safe=0.562]
nigga lover  [not safe: not_safe=0.988, safe=0.012]
niggah  [not safe: not_safe=0.943, safe=0.057]
niggahs  [safe: not_safe=0.052, safe=0.948]
niggahz  [safe: not_safe=0.030, safe=0.970]
niggar  [safe: not_safe=0.435, safe=0.565]
niggaracci  [safe: not_safe=0.024, safe=0.976]
niggard  [safe: not_safe=0.038, safe=0.962]
niggarded  [not safe: not_safe=0.969, safe=0.031]
niggarding  [safe: not_safe=0.011, safe=0.989]
niggardliness  [safe: not_safe=0.002, safe=0.998]
niggardlinesss  [safe: not_safe=0.021, safe=0.979]
niggardly  [safe: not_safe=0.033, safe=0.967]
niggards  [safe: not_safe=0.031, safe=0.969]
niggars  [safe: not_safe=0.032, safe=0.968]
niggas  [not safe: not_safe=0.921, safe=0.079]
niggass  [safe: not_safe=0.277, safe=0.723]
niggaz  [safe: not_safe=0.615, safe=0.385]
niggazzes  [safe: not_safe=0.715, safe=0.285]
nigger  [not safe: not_safe=0.885, safe=0.115]
nigger lover  [not safe: not_safe=0.998, safe=0.002]
niggerhead  [safe: not_safe=0.726, safe=0.274]
niggerhole  [not safe: not_safe=0.971, safe=0.029]
niggers  [not safe: not_safe=0.995, safe=0.005]
niggerz  [not safe: not_safe=0.980, safe=0.020]
niggir  [not safe: not_safe=0.997, safe=0.003]
niggle  [not safe: not_safe=0.996, safe=0.004]
niggled  [safe: not_safe=0.777, safe=0.223]
niggles  [not safe: not_safe=0.952, safe=0.048]
niggling  [safe: not_safe=0.172, safe=0.828]
nigglings  [safe: not_safe=0.482, safe=0.518]
niggor  [not safe: not_safe=0.985, safe=0.015]
niggress  [safe: not_safe=0.060, safe=0.940]
niggresses  [safe: not_safe=0.016, safe=0.984]
nigguh  [not safe: not_safe=0.866, safe=0.134]
nigguhs  [not safe: not_safe=0.924, safe=0.076]
nigguhz  [not safe: not_safe=0.945, safe=0.055]
niggur  [safe: not_safe=0.564, safe=0.436]
niggurs  [safe: not_safe=0.038, safe=0.962]
niglet  [not safe: not_safe=0.992, safe=0.008]
nignigs  [safe: not_safe=0.780, safe=0.220]
nignog  [not safe: not_safe=0.902, safe=0.098]
nigor  [safe: not_safe=0.213, safe=0.787]
nigors  [safe: not_safe=0.031, safe=0.969]
nigr  [safe: not_safe=0.458, safe=0.542]
nigra  [not safe: not_safe=0.891, safe=0.109]
nigras  [not safe: not_safe=0.933, safe=0.067]
nigre  [safe: not_safe=0.154, safe=0.846]
nigres  [safe: not_safe=0.195, safe=0.805]
nigress  [safe: not_safe=0.578, safe=0.422]
nigs  [safe: not_safe=0.090, safe=0.910]
niguh  [safe: not_safe=0.268, safe=0.732]
nigur  [safe: not_safe=0.802, safe=0.198]
niiger  [not safe: not_safe=0.992, safe=0.008]
niigr  [not safe: not_safe=0.997, safe=0.003]
nikk3r  [safe: not_safe=0.208, safe=0.792]
nikkas  [safe: not_safe=0.230, safe=0.770]
nikker  [safe: not_safe=0.296, safe=0.704]
nimphomania  [safe: not_safe=0.024, safe=0.976]
nimrod  [safe: not_safe=0.133, safe=0.867]
ninny  [not safe: not_safe=0.973, safe=0.027]
nip  [safe: not_safe=0.132, safe=0.868]
nippel  [safe: not_safe=0.289, safe=0.711]
nipple  [not safe: not_safe=0.888, safe=0.112]
nipplering  [safe: not_safe=0.016, safe=0.984]
nipples  [safe: not_safe=0.266, safe=0.734]
nips  [safe: not_safe=0.704, safe=0.296]
nique  [safe: not_safe=0.754, safe=0.246]
nique ta mère  [not safe: not_safe=0.996, safe=0.004]
nittit  [safe: not_safe=0.303, safe=0.697]
nlgger  [safe: not_safe=0.447, safe=0.553]
nlggor  [safe: not_safe=0.500, safe=0.500]
nob  [safe: not_safe=0.060, safe=0.940]
nob jockey  [safe: not_safe=0.008, safe=0.992]
nob jokeys  [safe: not_safe=0.025, safe=0.975]
nobbyhead  [safe: not_safe=0.004, safe=0.996]
nobhead  [safe: not_safe=0.014, safe=0.986]
nobheads  [safe: not_safe=0.008, safe=0.992]
nobj0key  [safe: not_safe=0.077, safe=0.923]
nobjockies  [safe: not_safe=0.631, safe=0.369]
nobjocky  [safe: not_safe=0.408, safe=0.592]
nobjokey  [safe: not_safe=0.021, safe=0.979]
nobjokeys  [safe: not_safe=0.097, safe=0.903]
nobs  [safe: not_safe=0.070, safe=0.930]
nofuckingway  [safe: not_safe=0.014, safe=0.986]
nog  [safe: not_safe=0.044, safe=0.956]
nognog  [safe: not_safe=0.674, safe=0.326]
nonce  [safe: not_safe=0.678, safe=0.322]
nookey  [safe: not_safe=0.004, safe=0.996]
nookie  [safe: not_safe=0.009, safe=0.991]
nooky  [safe: not_safe=0.088, safe=0.912]
noonan  [safe: not_safe=0.039, safe=0.961]
nooner  [safe: not_safe=0.529, safe=0.471]
nsfw  [safe: not_safe=0.063, safe=0.937]
nuckas  [not safe: not_safe=0.973, safe=0.027]
nude  [safe: not_safe=0.724, safe=0.276]
nudger  [safe: not_safe=0.074, safe=0.926]
nudie  [safe: not_safe=0.064, safe=0.936]
nudies  [safe: not_safe=0.123, safe=0.877]
nudity  [safe: not_safe=0.010, safe=0.990]
numbnuts  [safe: not_safe=0.006, safe=0.994]
numpty  [safe: not_safe=0.035, safe=0.965]
nussia  [safe: not_safe=0.726, safe=0.274]
nussija  [safe: not_safe=0.022, safe=0.978]
nussinta  [safe: not_safe=0.094, safe=0.906]
nutbutter  [safe: not_safe=0.031, safe=0.969]
nutfucker  [safe: not_safe=0.079, safe=0.921]
nutjob  [safe: not_safe=0.023, safe=0.977]
nutsack  [safe: not_safe=0.129, safe=0.871]
nutsacks  [safe: not_safe=0.070, safe=0.930]
nutte  [not safe: not_safe=0.876, safe=0.124]
nutten  [safe: not_safe=0.041, safe=0.959]
nymph  [safe: not_safe=0.288, safe=0.712]
nympho  [safe: not_safe=0.126, safe=0.874]
nymphomania  [safe: not_safe=0.016, safe=0.984]
nymphomaniac  [safe: not_safe=0.025, safe=0.975]
nègre  [safe: not_safe=0.042, safe=0.958]
octopussy  [safe: not_safe=0.221, safe=0.779]
oetlul  [not safe: not_safe=0.935, safe=0.065]
olla  [not safe: not_safe=0.940, safe=0.060]
omorashi  [safe: not_safe=0.017, safe=0.983]
onanieren  [safe: not_safe=0.807, safe=0.193]
ontherag  [safe: not_safe=0.018, safe=0.982]
opgeilen  [safe: not_safe=0.010, safe=0.990]
opizdet  [safe: not_safe=0.023, safe=0.977]
opkankeren  [safe: not_safe=0.048, safe=0.952]
oprotten  [safe: not_safe=0.041, safe=0.959]
opsodemieteren  [safe: not_safe=0.044, safe=0.956]
opzouten  [not safe: not_safe=0.835, safe=0.165]
orafis  [safe: not_safe=0.152, safe=0.848]
orally  [safe: not_safe=0.015, safe=0.985]
orga  [safe: not_safe=0.043, safe=0.957]
orgasim  [safe: not_safe=0.029, safe=0.971]
orgasim;  [safe: not_safe=0.022, safe=0.978]
orgasims  [safe: not_safe=0.006, safe=0.994]
orgasm  [safe: not_safe=0.010, safe=0.990]
orgasmic  [safe: not_safe=0.005, safe=0.995]
orgasms  [safe: not_safe=0.005, safe=0.995]
orgasmus  [safe: not_safe=0.007, safe=0.993]
orgasum  [safe: not_safe=0.045, safe=0.955]
orgies  [safe: not_safe=0.015, safe=0.985]
orgy  [safe: not_safe=0.013, safe=0.987]
oriface  [safe: not_safe=0.519, safe=0.481]
orifice  [safe: not_safe=0.009, safe=0.991]
orifiss  [not safe: not_safe=0.914, safe=0.086]
orina  [not safe: not_safe=0.956, safe=0.044]
orospu  [not safe: not_safe=0.984, safe=0.016]
orospuda  [not safe: not_safe=0.877, safe=0.123]
orospudan  [safe: not_safe=0.524, safe=0.476]
orospular  [safe: not_safe=0.086, safe=0.914]
orospulara  [safe: not_safe=0.290, safe=0.710]
orospularda  [safe: not_safe=0.568, safe=0.432]
orospulardan  [safe: not_safe=0.061, safe=0.939]
orospuları  [safe: not_safe=0.219, safe=0.781]
orospuların  [not safe: not_safe=0.855, safe=0.145]
orospunun  [not safe: not_safe=0.975, safe=0.025]
orospuya  [not safe: not_safe=0.814, safe=0.186]
orospuyu  [not safe: not_safe=0.926, safe=0.074]
osama  [not safe: not_safe=0.977, safe=0.023]
oslošoust  [not safe: not_safe=0.828, safe=0.172]
ostoeblo  [safe: not_safe=0.119, safe=0.881]
ostohuitelno  [safe: not_safe=0.674, safe=0.326]
otmudohat  [safe: not_safe=0.022, safe=0.978]
otpizdit  [not safe: not_safe=0.963, safe=0.037]
otsosi  [not safe: not_safe=0.978, safe=0.022]
otyebis  [safe: not_safe=0.044, safe=0.956]
otário  [safe: not_safe=0.293, safe=0.707]
ouwehoer  [safe: not_safe=0.232, safe=0.768]
ouwehoeren  [safe: not_safe=0.020, safe=0.980]
oven dodger  [not safe: not_safe=0.997, safe=0.003]
ovum  [not safe: not_safe=0.931, safe=0.069]
ovums  [not safe: not_safe=0.839, safe=0.161]
p*rn  [safe: not_safe=0.101, safe=0.899]
p*ss  [safe: not_safe=0.116, safe=0.884]
p*ss off  [safe: not_safe=0.255, safe=0.745]
p*ssflaps  [safe: not_safe=0.027, safe=0.973]
p*sshead  [safe: not_safe=0.392, safe=0.608]
p*sspants  [safe: not_safe=0.257, safe=0.743]
p*sspot  [safe: not_safe=0.501, safe=0.499]
p*ssy  [safe: not_safe=0.293, safe=0.707]
p0rn  [safe: not_safe=0.057, safe=0.943]
p3n1shead  [safe: not_safe=0.007, safe=0.993]
p3nisfcker  [safe: not_safe=0.046, safe=0.954]
p3nisfcukers  [safe: not_safe=0.014, safe=0.986]
p3nisfvcker  [safe: not_safe=0.036, safe=0.964]
p3nisfvckers  [safe: not_safe=0.054, safe=0.946]
p@ss  [safe: not_safe=0.039, safe=0.961]
paal  [safe: not_safe=0.006, safe=0.994]
paardelul  [safe: not_safe=0.367, safe=0.633]
pack my fudge  [safe: not_safe=0.024, safe=0.976]
packerfudgehead  [safe: not_safe=0.009, safe=0.991]
packi  [safe: not_safe=0.101, safe=0.899]
packie  [safe: not_safe=0.008, safe=0.992]
packing fudge  [safe: not_safe=0.014, safe=0.986]
packing fudgehead  [safe: not_safe=0.059, safe=0.941]
packingfudge  [safe: not_safe=0.015, safe=0.985]
packingfudgefucker  [safe: not_safe=0.009, safe=0.991]
packingfudgefucking  [safe: not_safe=0.013, safe=0.987]
packsomefudgefucker  [safe: not_safe=0.024, safe=0.976]
packy  [safe: not_safe=0.038, safe=0.962]
paddy  [not safe: not_safe=0.965, safe=0.035]
padlo  [not safe: not_safe=0.905, safe=0.095]
padulo  [safe: not_safe=0.302, safe=0.698]
paedophile  [safe: not_safe=0.131, safe=0.869]
paki  [not safe: not_safe=0.991, safe=0.009]
pakie  [not safe: not_safe=0.949, safe=0.051]
pakis  [not safe: not_safe=0.984, safe=0.016]
pakkis  [not safe: not_safe=0.980, safe=0.020]
paky  [not safe: not_safe=0.977, safe=0.023]
palen  [not safe: not_safe=0.988, safe=0.012]
palesimian  [safe: not_safe=0.017, safe=0.983]
palhaço  [safe: not_safe=0.673, safe=0.327]
paljaalla  [safe: not_safe=0.005, safe=0.995]
palle  [not safe: not_safe=0.852, safe=0.148]
palli  [safe: not_safe=0.148, safe=0.852]
pallit  [safe: not_safe=0.012, safe=0.988]
palloso  [safe: not_safe=0.701, safe=0.299]
palm jockey  [safe: not_safe=0.130, safe=0.870]
palucher  [not safe: not_safe=0.819, safe=0.181]
pancake face  [safe: not_safe=0.009, safe=0.991]
paneleiro  [safe: not_safe=0.050, safe=0.950]
paneskella  [not safe: not_safe=0.942, safe=0.058]
panettaa  [safe: not_safe=0.054, safe=0.946]
panna  [not safe: not_safe=0.983, safe=0.017]
pano  [not safe: not_safe=0.988, safe=0.012]
panocha  [safe: not_safe=0.057, safe=0.943]
panooch  [safe: not_safe=0.100, safe=0.900]
pansies  [safe: not_safe=0.010, safe=0.990]
pansy  [safe: not_safe=0.049, safe=0.951]
pantava  [safe: not_safe=0.033, safe=0.967]
panti  [not safe: not_safe=0.983, safe=0.017]
pantie  [safe: not_safe=0.014, safe=0.986]
panties  [safe: not_safe=0.017, safe=0.983]
panty  [safe: not_safe=0.379, safe=0.621]
paska  [safe: not_safe=0.322, safe=0.678]
paskainen  [safe: not_safe=0.007, safe=0.993]
paskamainen  [safe: not_safe=0.064, safe=0.936]
paskanmarjat  [safe: not_safe=0.156, safe=0.844]
paskantaa  [safe: not_safe=0.012, safe=0.988]
paskapuhe  [safe: not_safe=0.186, safe=0.814]
paskapää  [safe: not_safe=0.126, safe=0.874]
paskattaa  [safe: not_safe=0.008, safe=0.992]
paskiainen  [safe: not_safe=0.542, safe=0.458]
paskoa  [safe: not_safe=0.275, safe=0.725]
paspalho  [safe: not_safe=0.282, safe=0.718]
pastie  [not safe: not_safe=0.991, safe=0.009]
pasty  [safe: not_safe=0.022, safe=0.978]
patacca  [not safe: not_safe=0.819, safe=0.181]
pataka  [not safe: not_safe=0.826, safe=0.174]
patakha  [safe: not_safe=0.795, safe=0.205]
patonza  [not safe: not_safe=0.994, safe=0.006]
pau  [not safe: not_safe=0.967, safe=0.033]
pawn  [safe: not_safe=0.642, safe=0.358]
payo  [not safe: not_safe=0.965, safe=0.035]
pcp  [safe: not_safe=0.016, safe=0.984]
pearlnecklace  [not safe: not_safe=0.946, safe=0.054]
pecker  [safe: not_safe=0.581, safe=0.419]
peckerhead  [safe: not_safe=0.192, safe=0.808]
peckerwood  [safe: not_safe=0.236, safe=0.764]
pecorina  [safe: not_safe=0.188, safe=0.812]
pedik  [not safe: not_safe=0.899, safe=0.101]
pedo  [safe: not_safe=0.662, safe=0.338]
pedobear  [safe: not_safe=0.250, safe=0.750]
pedobears  [safe: not_safe=0.406, safe=0.594]
pedophile  [safe: not_safe=0.017, safe=0.983]
pedophilia  [safe: not_safe=0.047, safe=0.953]
pedophiliac  [safe: not_safe=0.026, safe=0.974]
pedophl  [safe: not_safe=0.048, safe=0.952]
pedos  [not safe: not_safe=0.895, safe=0.105]
pedoz  [not safe: not_safe=0.847, safe=0.153]
peeenus  [safe: not_safe=0.091, safe=0.909]
peeenusss  [safe: not_safe=0.086, safe=0.914]
peehole  [not safe: not_safe=0.984, safe=0.016]
peen  [not safe: not_safe=0.919, safe=0.081]
peener  [safe: not_safe=0.010, safe=0.990]
peenus  [not safe: not_safe=0.973, safe=0.027]
peepee  [not safe: not_safe=0.996, safe=0.004]
peepshow  [safe: not_safe=0.004, safe=0.996]
peepshpw  [safe: not_safe=0.049, safe=0.951]
pegging  [safe: not_safe=0.004, safe=0.996]
pehko  [not safe: not_safe=0.979, safe=0.021]
peidar  [safe: not_safe=0.032, safe=0.968]
peinus  [safe: not_safe=0.259, safe=0.741]
pele  [not safe: not_safe=0.998, safe=0.002]
pelotudo  [not safe: not_safe=0.862, safe=0.138]
peludo  [not safe: not_safe=0.925, safe=0.075]
pelék  [not safe: not_safe=0.931, safe=0.069]
